,0,1,2,3,4,5,6,7,8,9
33.785909_-84.409891_90,0.0254541015625,,,,,0.28333740234375,0.69120849609375,,,
33.785967_-84.409588_0,0.01728271484375,,,0.000263671875,,0.37745361328125,0.605,,,
33.785967_-84.409588_180,0.22469482421875,,,,,0.00951904296875,0.7657861328125,,,
33.785967_-84.409588_270,,,0.044921875,0.01020751953125,,0.3970703125,0.54780029296875,,,
33.785967_-84.409588_90,0.02019775390625,,,0.042548828125,,0.24735595703125,0.6898974609375,,,
33.786019_-84.409432_0,0.0995703125,,,1.708984375e-05,,0.1406640625,0.75974853515625,,,
33.786019_-84.409432_180,0.02678466796875,0.00358642578125,0.00083984375,,0.01030029296875,0.39567626953125,0.5628125,,,
33.786019_-84.409432_270,0.006513671875,,,0.14759521484375,,0.27512939453125,0.57076171875,,,
33.786019_-84.409432_90,0.00044921875,,,0.03772705078125,0.00138671875,0.3656201171875,0.59481689453125,,,
33.786179_-84.40879_0,0.0205224609375,,,0.00147216796875,,0.389501953125,0.58850341796875,,,
33.786179_-84.40879_180,0.2525146484375,,,,,0.0158837890625,0.7316015625,,,
33.786179_-84.40879_270,0.0154638671875,,0.0332861328125,0.00565673828125,0.04404541015625,0.37729248046875,0.52425537109375,,,
33.786179_-84.40879_90,0.132978515625,,,,,0.270458984375,0.5965625,,,
33.7861_-84.409121_0,,,,0.0235205078125,,0.3767138671875,0.599765625,,,
33.7861_-84.409121_180,,,,0.0058837890625,,0.0130517578125,0.981064453125,,,
33.7861_-84.409121_270,0.03452392578125,0.00033935546875,,0.00908203125,0.00071533203125,0.39904541015625,0.55398193359375,0.00231201171875,,
33.7861_-84.409121_90,,,0.02703857421875,0.00137451171875,2.44140625e-06,0.2641357421875,0.70592041015625,,0.0015283203125,
33.786209_-84.40852_0,0.13202392578125,,,,,0.22640869140625,0.6415673828125,,,
33.786209_-84.40852_180,0.040498046875,,,,,0.372919921875,0.58658203125,,,
33.786209_-84.40852_270,0.0836767578125,,,0.00596923828125,,0.31085693359375,0.5994970703125,,,
33.786209_-84.40852_90,0.01836181640625,,,0.004296875,,0.3951953125,0.58214599609375,,,
33.786233_-84.408248_0,0.16450439453125,,,,,,0.83549560546875,,,
33.786233_-84.408248_180,0.0194921875,,,,,0.3238427734375,0.6566650390625,,,
33.786233_-84.408248_270,0.00028564453125,,,0.0484521484375,,0.33518310546875,0.6160791015625,,,
33.786233_-84.408248_90,0.00089111328125,,,0.04027587890625,7.8125e-05,0.314287109375,0.6444677734375,,,
33.786242_-84.407865_0,0.02489013671875,,,,0.00302734375,0.37293212890625,0.599150390625,,,
33.786242_-84.407865_180,0.2331689453125,,,,,0.08902099609375,0.67781005859375,,,
33.786242_-84.407865_270,0.0780517578125,,,,,0.32263427734375,0.59931396484375,,,
33.786242_-84.407865_90,0.03881591796875,,0.0605224609375,,,0.29837890625,0.60228271484375,,,
